n,structure,operation,repeat,batch_size,batch_seconds,seconds_per_operation
10000,DynamicArray,get_middle,3,200,5.020000389777124e-05,2.510000194888562e-07
10000,DynamicArray,get_middle,4,200,5.01000031363219e-05,2.505000156816095e-07
10000,DynamicArray,get_middle,5,200,4.9299997044727206e-05,2.46499985223636e-07
10000,SinglyLinkedList,prepend,1,50,2.099999983329326e-05,4.199999966658652e-07
10000,SinglyLinkedList,prepend,2,50,2.1599989850074053e-05,4.3199979700148105e-07
10000,SinglyLinkedList,prepend,3,50,2.1200001356191933e-05,4.240000271238387e-07
10000,SinglyLinkedList,prepend,4,50,2.059999678749591e-05,4.119999357499182e-07
10000,SinglyLinkedList,prepend,5,50,2.2299995180219412e-05,4.4599990360438825e-07
10000,SinglyLinkedList,get_middle,1,200,0.02580889999808278,0.0001290444999904139
10000,SinglyLinkedList,get_middle,2,200,0.027540499999304302,0.0001377024999965215
10000,SinglyLinkedList,get_middle,3,200,0.026221299995086156,0.00013110649997543077
10000,SinglyLinkedList,get_middle,4,200,0.026606100000208244,0.0001330305000010412
10000,SinglyLinkedList,get_middle,5,200,0.025122399994870648,0.00012561199997435324
10000,DoublyLinkedList,prepend,1,50,2.479999966453761e-05,4.959999932907522e-07
10000,DoublyLinkedList,prepend,2,50,2.4300010409206152e-05,4.86000208184123e-07
10000,DoublyLinkedList,prepend,3,50,2.239999594166875e-05,4.4799991883337497e-07
10000,DoublyLinkedList,prepend,4,50,2.130000211764127e-05,4.260000423528254e-07
10000,DoublyLinkedList,prepend,5,50,2.0799998310394585e-05,4.159999662078917e-07
10000,DoublyLinkedList,get_middle,1,200,0.024856699994415976,0.0001242834999720799
10000,DoublyLinkedList,get_middle,2,200,0.024647700003697537,0.00012323850001848768
10000,DoublyLinkedList,get_middle,3,200,0.02452140000241343,0.00012260700001206714
10000,DoublyLinkedList,get_middle,4,200,0.024644199991598725,0.00012322099995799364
10000,DoublyLinkedList,get_middle,5,200,0.02451410000503529,0.00012257050002517644
20000,DynamicArray,prepend,1,50,0.3497400999913225,0.00699480199982645
20000,DynamicArray,prepend,2,50,0.35071179999795277,0.007014235999959055
20000,DynamicArray,prepend,3,50,0.35388580001017544,0.007077716000203509
20000,DynamicArray,prepend,4,50,0.3505260999954771,0.007010521999909543
20000,DynamicArray,prepend,5,50,0.40772780000406783,0.008154556000081357
20000,DynamicArray,get_middle,1,200,5.160000000614673e-05,2.5800000003073364e-07
20000,DynamicArray,get_middle,2,200,5.020000389777124e-05,2.510000194888562e-07
20000,DynamicArray,get_middle,3,200,4.919999628327787e-05,2.4599998141638937e-07
20000,DynamicArray,get_middle,4,200,5.160000000614673e-05,2.5800000003073364e-07
20000,DynamicArray,get_middle,5,200,5.1099996198900044e-05,2.5549998099450023e-07
20000,SinglyLinkedList,prepend,1,50,2.1400002879090607e-05,4.280000575818121e-07
20000,SinglyLinkedList,prepend,2,50,2.1400002879090607e-05,4.280000575818121e-07
20000,SinglyLinkedList,prepend,3,50,2.020000829361379e-05,4.0400016587227583e-07
20000,SinglyLinkedList,prepend,4,50,2.1899992134422064e-05,4.3799984268844126e-07
20000,SinglyLinkedList,prepend,5,50,2.030000905506313e-05,4.0600018110126255e-07
20000,SinglyLinkedList,get_middle,1,200,0.05490309999731835,0.00027451549998659176
20000,SinglyLinkedList,get_middle,2,200,0.050575100001879036,0.00025287550000939517
20000,SinglyLinkedList,get_middle,3,200,0.052656899992143735,0.0002632844999607187
20000,SinglyLinkedList,get_middle,4,200,0.05165789999591652,0.0002582894999795826
20000,SinglyLinkedList,get_middle,5,200,0.05263210000703111,0.00026316050003515556
20000,DoublyLinkedList,prepend,1,50,2.8800001018680632e-05,5.760000203736126e-07
20000,DoublyLinkedList,prepend,2,50,2.300000051036477e-05,4.600000102072954e-07
20000,DoublyLinkedList,prepend,3,50,2.340000355616212e-05,4.680000711232424e-07
20000,DoublyLinkedList,prepend,4,50,2.3600005079060793e-05,4.7200010158121584e-07
20000,DoublyLinkedList,prepend,5,50,2.130000211764127e-05,4.260000423528254e-07
20000,DoublyLinkedList,get_middle,1,200,0.05170409999846015,0.00025852049999230075
20000,DoublyLinkedList,get_middle,2,200,0.04957470000954345,0.0002478735000477172
20000,DoublyLinkedList,get_middle,3,200,0.050123999986681156,0.00025061999993340576
20000,DoublyLinkedList,get_middle,4,200,0.049820500003988855,0.00024910250001994425
20000,DoublyLinkedList,get_middle,5,200,0.04979079999611713,0.00024895399998058564
50000,DynamicArray,prepend,1,50,0.9763825999980327,0.019527651999960653
50000,DynamicArray,prepend,2,50,0.9601681000058306,0.019203362000116613
50000,DynamicArray,prepend,3,50,0.992885200001183,0.01985770400002366
50000,DynamicArray,prepend,4,50,0.9522837999975309,0.019045675999950617
50000,DynamicArray,prepend,5,50,0.9764752000046428,0.019529504000092856
50000,DynamicArray,get_middle,1,200,5.259999306872487e-05,2.6299996534362437e-07
50000,DynamicArray,get_middle,2,200,5.160000000614673e-05,2.5800000003073364e-07
50000,DynamicArray,get_middle,3,200,5.18000015290454e-05,2.5900000764522703e-07
50000,DynamicArray,get_middle,4,200,5.0699993153102696e-05,2.5349996576551346e-07
50000,DynamicArray,get_middle,5,200,5.160000000614673e-05,2.5800000003073364e-07
50000,SinglyLinkedList,prepend,1,50,2.339998900424689e-05,4.679997800849378e-07
50000,SinglyLinkedList,prepend,2,50,2.200000744778663e-05,4.400001489557326e-07
50000,SinglyLinkedList,prepend,3,50,2.1400002879090607e-05,4.280000575818121e-07
50000,SinglyLinkedList,prepend,4,50,1.959998917300254e-05,3.9199978346005083e-07
50000,SinglyLinkedList,prepend,5,50,2.099999983329326e-05,4.199999966658652e-07
50000,SinglyLinkedList,get_middle,1,200,0.12987789999169763,0.0006493894999584881
50000,SinglyLinkedList,get_middle,2,200,0.13175479999335948,0.0006587739999667974
50000,SinglyLinkedList,get_middle,3,200,0.12954889998945873,0.0006477444999472936
50000,SinglyLinkedList,get_middle,4,200,0.13460570000461303,0.0006730285000230652
50000,SinglyLinkedList,get_middle,5,200,0.1304115999955684,0.000652057999977842
50000,DoublyLinkedList,prepend,1,50,2.7900008717551827e-05,5.580001743510366e-07
50000,DoublyLinkedList,prepend,2,50,2.7700007194653153e-05,5.54000143893063e-07
50000,DoublyLinkedList,prepend,3,50,2.200000744778663e-05,4.400001489557326e-07
50000,DoublyLinkedList,prepend,4,50,2.7399990358389914e-05,5.479998071677983e-07
50000,DoublyLinkedList,prepend,5,50,2.339998900424689e-05,4.679997800849378e-07
